ir_value
85809
85937
86545
86948
87051
87479
87762
87826
88053
88192
88186
88236
88251
88249
88288
88324
88303
88167
87910
87722
86826
85631
85135
82707
80598
79785
76181
73972
73283
70796
68916
68252
65644
63859
63279
61271
60087
59716
58597
57999
57814
57129
56708
56999
60766
64822
66400
74670
79783
81123
83404
82964
82822
82734
83209
83384
84042
84513
84713
85324
85781
85938
86508
86944
87120
87873
88558
88792
89782
90824
91304
92994
93280
93339
93395
93427
93405
93309
93311
93311
93235
93232
93216
93163
93185
93187
93193
93223
93215
93232
93244
92441
92375
92323
92328
92318
92347
92396
92407
92479
92511
92516
92587
92642
92691
92740
92763
92776
92805
92768
92778
92778
92712
92720
92666
92630
92651
92615
92590
92571
92550
92512
92500
92504
92507
92520
92514
92495
92503
92518
92484
92524
92522
92503
92529
92531
92529
92558
92628
92666
92710
92743
92702
92736
92716
92699
92737
92730
92770
92814
92880
92870
92900
92879
92818
92881
92850
92836
92870
92904
92918
92956
92970
92960
92966
92974
93003
93036
93048
93071
93117
93151
93145
93171
93155
93198
93195
93224
93221
93265
93256
93226
93254
93241
93213
93246
93267
93258
93281
93310
93290
93286
93302
93301
93303
93333
93353
93352
93376
93400
93401
93399
93394
93374
93385
93377
93387
93403
93431
93396
93384
93381
93356
93323
93349
93317
93328
93344
93317
93311
93323
93318
93297
93313
93317
93326
93369
93381
93396
93401
93396
93409
93475
93439
93457
93459
93450
93470
93486
93484
93497
93513
93485
93494
93516
93509
93524
93562
93522
93516
93520
93497
93490
93538
93520
93524
93516
93509
93469
93454
93449
93436
93490
93472
93468
93494
93471
93457
93483
93466
93462
93521
93495
93486
93521
93516
93511
93533
93534
93559
93583
93589
93592
93629
93604
93624
93659
93680
93690
93706
93714
93726
93740
93702
93671
93692
93697
93671
93693
93715
93663
93673
93678
93637
93665
93657
93665
93684
93688
93682
93698
93679
93638
93670
93652
93656
93652
93671
93635
93666
93670
93644
93656
93670
93673
93686
93702
93690
93695
93723
93714
93707
93713
93730
93727
93737
93721
93723
93724
93716
93728
93726
93719
93714
93709
93680
93722
93685
93697
93712
93729
93704
93710
93730
93688
93690
93674
93644
93628
93634
93566
93578
93551
93548
93554
93545
93568
93576
93606
93617
93624
93635
93654
93687
93676
93732
93730
93706
93718
93691
93692
93714
93674
93695
93685
93658
93651
93643
93644
93662
93627
93621
93616
93626
93600
93607
93614
93590
93584
93598
93577
93573
93585
93571
93580
93599
93538
93559
93560
93537
93526
93527
93496
93502
93497
93461
93488
93457
93450
93436
93403
93374
93387
93375
93351
93355
93373
93331
93364
93356
93326
93300
93288
93256
93265
93248
93227
93228
93246
93244
93255
93246
93185
93216
93192
93194
93218
93203
93170
93191
93144
93100
93136
93077
93029
92814
92840
92769
92786
92821
92760
92772
92811
92723
92753
92739
92667
92672
92679
92594
92626
92625
92559
92571
92554
92513
92551
92527
92506
92506
92551
92490
